'conectar'|tupachiy
decir la verdad|sut'ita rimay
decir lo uno y hacer lo otro|achakiy
decir pío pío (polluelos)|ch'is ch'is ñiy
decir, hacer o pensar al justo lo que convenía|chayayninman simiyta chachichiy
decisivo en el deporte y juegos de azar|k'arachi
decisión|kamarikuy
declaración|niy; chanin rimariykuna
declarada flor nacional boliviana|kantu; qantuta; qantu; q'antu; kantu; qantuta; kantuta
declarar|rimariy; willay; sut'iyachiy; mast'aray; sut'inchay
declararse culpable|ch'atakuy
declinación|siq'i mit'ay
declinar|t'iksuy
declive|kinray
decolorar|waqlliy
decorado|tupaq
decorador|khuskuq
decorar|khuskuy; allichay; achalachiy
decrecer|huch'uyyay; hiwiy
decrepitud|machu kay
decretar|kamachiy
decretar correctamente|chaninchay
decreto o disposición de dios|kamachi
decrépito|machu
decágono|chunkakachiru; chunkachiru
decámetro|chunkaka mitru
decímetro|chunka ch'iqta mitru
dedo|luk'ana; ruk'ana; ruk'a
dedo anular|siwi ruk'ana
dedo auricular|sullk'a ruk'ana; ñañu ruk'ana
dedo del corazón|chawpi ruk'ana
dedo del medio|chawpi ruk'ana
dedo meñique|sullk'a ruk'ana; ñañu ruk'ana
dedo pulgar|mama ruk'ana; mamaruk'ana
dedos|ruk'anakuna
dedos congénitamente pegados|parqa
dedos del pie|chaki ruk'anakuna
deducir|hamuypallay; unanchay
deducirse|yurikuy
deductivo|hamupallachi
defecación|isma
defecación diárrica|q'icha; q'ichalira
defecar|hatun hisp'ay; hisp'ay; isp'ay; ismay; akay
defecar en forma diárrica|q'ichay
defender|qhatay; qatay; hark'ay; hamachay; amachay; mich'ay
defender a una persona o animal|kutikuy
defender con palabras|hamachay; amachay
defenderse|hark'akuy
defenderse cuando a uno le pegan|kutichikuy
defensa|hark'apa
defensor|hark'aq; marka; amachaq
deficiente|pisi
definición|sut'inchaku; ch'uyantaku
definido|kikinchasqa; ch'uyantasqa; sut'ichasqa
definir|kikinchay; sut'inchay; ch'uwanchay; ch'uyanchay; ch'uyantay
deformar|q'iwiykachay
deforme|wiksu; wiqru
deforme (mano)|wiqru
defraudar|palquy
deglutir|millp'uy
degollador|nak'aq; ñak'aq
degollar|nak'ay; ñaq'ay; qhuruy; kunkata kuchuy; muruy
degradar|t'ustuy
degustar|malliy
deidad|wak'a; yakumama
deidad (huaca) demonia femenina, diosa amante de Wallallu Qarwinchu en los cuentos de Huarochirí, arrojada por Paryaqaqa hacia el mar|Manaña
deidad andina|Wiraquchi; Wiraqucha; apu
deidad menor|willka
deidad motana de la fiesta Q'oyllor Rit'i|Sinak'ara
deidad perversa|pachatira
deidad protectora de los sembradíos de maíz|Saramama
deidad que habita en los cerros mayores|ruwal
deidades naturales pequeñas que habitan agua corriente: ríos, arroyos y cascadas|phawsi runa
deificar|willkachay
dejado|saqisqa
dejar|dihay; saqirpariy; saqiy; saqillay; karunchakapuy
dejar (vestidos)|lluch'ukuy; lluchukuy
dejar (vestidos, pantalón)|ch'utikuy
dejar a los niños de pecho relajarse o desperezarse|thallachiy
dejar a una persona algo, bajo la custodia de otra|saqikuy
dejar abandonada a una persona o animal|saqirpariy
dejar alguien|kacharpariy
dejar andar|purichiy
dejar caer|kachariy
dejar chorrear|suruchiy
dejar congelar|khutuchiy
dejar de|tukuchiy
dejar de llover|usyay
dejar de mamar|hanuk'ay
dejar en libertad|kacharipuy
dejar escurrir el agua de los alimentos sólidos cocidos|ch'umay
dejar gastarse|mawk'achikuy
dejar hablar|rimachiy
dejar huir|llusp'ichiy
dejar la cama en las mañanas|sayariy
dejar libre al que se hallaba retenido|kachariy
dejar palpar|llamichiy
dejar resbalar|llusp'ichiy
dejar urdido|allwitamuy
dejarse capturar|hap'ichikuy
dejarse golpear|maqachikuy
dejarse morder|muk'uchikuy
dejarse quitar|qhichuchikuy
del monte|kita; k'ita
del norte|wichay
delante|qaylla; ñawpapachapi; ñawpa
delante (tiempo)|ñawpa
delantera|ñawpaqi
delantero|ñawpa; ñawpaq
delegado|mink'a runa
deleitoso|misk'i
delgado|llapsa; tullu; ñanu; nanu; ñañu; k'ullku; sillp'a; q'awchi; k'awchi; ch'arki; siklla; khuyay; tulluskiri; llañu; llañuy; ruskiti; lluchu
delgado como un clavo|tullu siki; ch'arkilu; chhalla siki
delgado en animales|tullu
delgado o fino|llapsa
delgado y largo|suyt'u; suytu
deliberadamente|yachaspa
delicado|sullu; chullchu; samp'a; sampa; llullu; ñukñu
delicioso|misk'i; sumaq
delictuoso|q'umalli
delimitar|sayway; t'aqay; usnuy; suyuchay; saywachay
delincuente|q'umalli; huchayuq
delineación|t'iktuncha; sikwiq akna; suyuncha
delinear|t'iktuy; rikwiy; suyunchay
delinquir|huchallikuy; huchalliy; p'akinchay
delirar|muspay; musphay; musquy; musphachiy; utirayachiy
delirio colectivo producido por medio de cantar|taki unquy
delito|hucha; q'uma
demacrarse|tulluyay
demandar|mañay
demarcación|suyuqpa; kitiha; saywan
demarcar|saywachay
demasiado|sinchi; ancha; manchay; aswan; ashkha; ashkhas; achkha; ashka; askha; yupa; astawan; nishu; nisyu; ñisu
demasiado cocinado|liqhi
demasiado grande|hatun karay; hatunkaray
demasiado peró limitado (cualidad)|ancha
demasiado salado|millu k'arara; q'arara millu q'ara; millu q'arara
demasiado seco|phara
demasía|yallin
demente|luku; luqu
democracia|llaqtaq kamachiynin; llaqtaq kamaynin
demografía|runayupay; runa yupay
demoler|thunichiy; thuñichiy
demolido|thuñisqa
demonio|supay; saqra
demora|unay
demorar|unay
demorarse|unayay
demostrable|anchaynikuq; khaqnaqchakuq; khaynach'aq atikuq
demostración|rikuchi; khaqnachaku; rikachiku; rikuchiku; khaynachaku
demostrar|khaqnaqchay; pikuchiy; rikhuchiy; rikuchiy; qhawachiy; rikurichiy; rikhurichiy; yachachiy
demostrarse|rikukuy
denantes|ñaqa; ñaqha; naha; ñaha
denigrar|ayñay; k'amiy
denodado|qari; qhari
denominación|suti
denominador|patmama
denominar|sutichay; sutiyay
denso|pipu; thaka; sankhu; khaka; rakhu
denso (líquido)|allpi
dentadura|kirukuna; kiru
dentadura careada|hut'u kiru
dentadura rala|chikchi; chhikchi
dentellar|khaniy; kaniy; simpuy
dentera|khipiy; khipi
dentición|kiru chakuy
dentista|kiru sik'iq
dentro|ukupi; ukhupi; ukhunpi; ruri; ukhu
dentro de|ukhupi
dentro de dos años|minchhawata
dentro de poco|pisipachapi; q'ayaminchha; q'aya minchha
dentro por todas partes|tukuyniqpi
denuevo|waqmanta
denunciante|ch'ataq
denunciar|willay; ch'atakuy; ch'atay
denunciar o anoticiar|willachiy
departamento|llaqtaq hap'iynin; suyu
departamento de Chuquisaca (Bolivia)|Qhara-Qhara
departamento de Chuquisaca (Bolivia) (<puente de metal)|Chuqichaka
departamento de Chuquisaca (Bolivia) (escitura adaptada a la pronunciación castellana, cf. Chuqichaka)|Chukisaka
depilar|llupikuy; lluphiy
deportar|mitmay; mithmay
deporte|pukllay; phukllay
deposición|akay
depositar|churay
deposito hecho de caña o paja|taqi
depravar|churarayay
depreciar|hurayk'uy; uraykuy; qasiyay
depresión|llakikuy
depresión del terreno|p'ukru; luq'u
depresión en una superficie|luq'u
depresión llena de agua|p'unqu
deprimido|hunk'usqa; unphu
deprisa|usqhay; usqay
depósito|pirwa; qulqa; qullqa; raki; tanpu; tampu; taqi
depósito de la papa bajo tierra|q'ayru
depósito de productos agricolas construido con cañahuecas y barro|pirwa
derecha|phaña; paña; paña; alliq; alli
derecha (lado)|alliq; alli
derecha (mano)|runa; alliq; alli; derecha
derecho|chiqa; siwk; chiqan; phaña; paña; alliq; alli
derecho,a|chiqa; siwk
derivación|k'allmaku; kachiyuq; p'allqaku
derivado,a|k'allman; p'allqasqa
derivar|p'allqay; k'allmanchay
dermatitis|llilli
derramar|t'ankay; hich'ay; mast'ariy; thalliy; talliy; t'akay
derramar iágrimas|wiq'iy
derramar la semilla al surco|t'akachiy
derramar lágrimas|wahay; waqay
derramar sangre|sirk'ay
derramarse|t'akakuy
derramarse líquido|suruy
derrengado|t'anpulli; t'anpullu; thanpuchi
derretido|chullusqa
derretir|yakuyachiy; chulluy; chulluchiy; unuyachiy; unuyay
derretirse|yakuyay; chulluy; unuyay
derribar|thunichiy; thuñichiy; kunpay; kumpay; wikapay; mast'ay; urmachiy; maray
derrocar|thuñiy; thuniy; thunikuy; thuñikuy
derrochador|wayramaki
derrochar|q'aruy
derrotado|atisqa; atipasqa
derrotar|atipay
derruir|thuñiy; thuniy
derrumbado|thuñisqa; urmasqa
derrumbar|thuñiy; thuniy; thunikuy; thuñikuy; urmachiy; thunichiy; thuñichiy; thuniy
derrumbarse|thuñiy; thuniy; sinkuy; sink'uy; thunikuy; thuñikuy
derrumbe|thuñi; thuni; lluqlla
desabotonarse lo que está sujeto con prendedor|t'iparakuy
desabrido|qhama; qama; laq'a; lak'a; q'ayma; siqi
desabrirse|q'aymarayay
desabrochar|ch'itaray
desabrocharse|t'iparakuy
desacreditar|tumpay; tunpay; rimay
desafiador|tupaq
desafiar|khirkiy
desafiarse|churanakuy
desafilado|muthu; mut'u
desafortunado|qhincha
desafío|tupaq
desagradable|mana allin; millay; saqra
desagrado|milla
desaguar|ch'uymay; chumay; ch'akichiy
desajustar|wayachay
desaliñado|q'anra; qhanra; q'illi; qhilli
desalmado|walaychu
desalojar|ch'utachiy; wich'urpariy
desamarrar|wataray; kachaykuy; phaskay; paskay
desamarrarse|phaskakuy; paskakuy
desamorado|waqraruna
desamparado|sapallan; paylla; saqisqa; uklla; huklla; suqla; ñuk'usqa
desamparar|saqiy; karunchakapuy
desaparecer|chinkariy; chinkay; chinkapuy
desarragar|sik'iy
desarreglado|t'ampa
desarreglar|t'ustiy
desarrollar|hatunyay; wiñay; puquy
desarrollar los vegetables|wiñay
desarrollarse|phutuy; runayay; wiñay
desarrollo|mayt'una; aysariy akna; hatunya
desarrollo superior|hapu; rantiy
desarropar|ch'ustiy
desarroparse|q'arakuy
desaseado|q'illi; qhilli; map'a; ch'ichi; q'anra; qhanra; qhirari; ch'iya k'utu; khuchi
desasosegarse|ch'iqmiy
desastre|sunqu nanay
desatable|paskakuq
desatar|wataray; kachariy; k'isuy; phaskaray; phaskay; paskay
desatarse|phaskakuy; paskakuy
desatento|miq'a uma; qunqaysiri
desayunar|yaku q'uñita upyay
desayuno|q'uñiyaku; yaku q'uñi; unu quñi; unuq'uñi; mati
desbarajustar|rawiy
desbarajuste|ch'arwi
desbaratar|urmaykuy
desbastar|llaqllay
desbordar|hunt'ay; phurmuy
desborde del río o de la laguna|lluqlla
descabalgar|hurayk'uy; uraykuy
descabezar|qhuruy; muruy
descaecer|unphuy; umphuy
descaecido|chullchu
descalabradura|ch'uqri
descalzo|q'ala chaki; q'ara chaki
descansadero|samana
descansado|samarisqa
descansar|wikch'urayay; samaray; samay
descansarse|samarakuy
descanso|sama; kuski; samay
descargar|q'ipiray; chaqnaray
descarnado|tullu
descaro|map'a
descartar|raqpay; wikapay
descascarar|munday; bunday; lluch'uy; rawmay
descascarar legumbres o frutas|t'iqway
descendente|hurayk'uq; uraykuq; uraqaq
descender|hurayk'uy; uraykuy; huraq'ay; hurq'ay; uraqay; hurayk'ay; uray
descendiente|qhipa wiñay
descenso|uray
descentrado,a|chawpinnasqa
descentrar|kuskannay; chawpinnay
descifrar|qapchata phaskay; qapchapi qillqasqata watuy; phaskay qapchanay; ch'uwanchay; ch'uyanchay; ch'uyantay
descolocado|hawa
descolorado|t'uqra; qawisqa; kutisqa
descolorarse|t'uqrayay
descolorido|t'uqra; kutisqa
descolorir|waqlliy
descolorirse|t'uqrayay
descomponer|waqlliy; ismuy; ismuykuy; ismuyay
descomponerse|p'usquy; kallpapisiy; ismuy; ismuykuy; ismuyay
descomponerse (tornarse ceniza)|usphayay
descomposición|mullpha; rawiku; thullkiku
descompuesto|ismu
descomunal|maych'ikan; maychhikan
desconcertado|musphachisqa
desconcertante|qunqachi; mama qunqachi
desconcertar|sunqumat'iy; musphachiy; utirayachiy
desconcharse|k'aphtiy
desconocedor|q'uqa
desconocer|pantay
desconocido|mana riqsisqa; manariqsisqa
descontar|pisiyachiy
descontentado|q'illiskiri
descontentarse|q'illikuy
descontinuar|mut'uchiy; allqay; t'ipiy
descoser|paskachiy; phaskaray; phaskay; paskay
descoserse|phaskakuy; paskakuy
descosible|paskakuq
descoyuntar|q'iwiy
describir|t'iktuqay; qayllamanta niy
descripción|willapa; t'iktuqa; t'iktuta
descuajar|t'iray; sik'iy
descubierto|qara; q'ara; q'ala
descubridor|tariq
descubrir|kichay; qhastiy; tariqay; sut'inchay; thariy; q'alalay; tariy
descubrirse|ch'ustikuy; ch'utikuy; q'arakuy
descuento|yupara; yupanna; llalliya; hiwiqa; qichupa
descuidado|qunqaq; luqhi
descuidar|churarayay
desculpar|mananchay
desde|-manta; -mantapacha; unay; pacha
desde allá|haqaymanta
desde allí|-mantapacha
desde antes|unaymanta
desde entonces|chaymanta; -mantapacha
desde entonces cuando|mayk'aqmantaña
desde hace un buen rato|ñaqhamantaña
desde la eternidad|wiña-wiñaymanta
desde siempre|wiñaymanta
desdentada que perdió la dentadura|hallmukiru
desdentado|llamu; laqmu; qhanqa; phallpa
desdentarse|phallpayay; qhanqayay
desdicha|llaki
desdichado|ala khuyay khuyaylla; qhincha
deseable|munay
desear|-naya; munapayay; munay
desear ardientemente|munapakuy
desear vehementemente (una cosa)|p'itikuy
desecado|ch'akisqa
desecar|ch'akichiy
desechado|wikch'usqa
desechar|wakhiyay; saqiy; wich'uy; wikch'uy; wisch'uy; wischuy
desecho (de algo que se come)|hach'u
desechos|wipaq
desempate|k'arachi
desenfrenarse|tukiy
desenfreno|tuki
desenganchar|warkhuray
desenterrar|p'anparay; p'amparay; hasp'iy
deseo|munana; ganas; munay
desesperación|wañuykawsay
desfallecer|pisipay
desfigurar|hukyachiy; p'arqachay; hukhinachiy
desgajar|q'iwiy
desgajar una rama|k'aqllay
desganado|q'usu
desgarrador|llik'ichiri
desgarrar|hasp'iy; qhasuy; lliq'iy; llik'iy
desgastado|mawk'a
desgastado por el uso|thantasqa
desgastar|mikhuy; mihuy; mawk'achiy; khankiy
desgastar una cosa por el excesivo uso|thantachiy
desgastarse|thantayay; mawk'ayay
desgastarse (la ropa)|llik'iy
desgaste de fuerzas|kallpawañuy
desgracia|taypa; llaki; sunqu nanay; disgrasiya; chiki; aquyraki; aquraki
desgraciado|qhincha; usuri
desgranador|muchhana
desgranar|muchhay
desgreñado|t'ampa; ch'aska; q'upa uma; ch'ampa uma
desgreñar|t'ampachiy; t'ampay
desgreñarse|t'ampayay
deshacer|hunaray; ruwaray; t'uktispa qhichuy; -ra-; ruwannay; phaskay; paskay
deshacer lo tendido|mast'aray
deshecho|usu; hanch'i
deshecho por la cochura|liqhi
deshelar|yakuyachiy
desherbar|hallmay
desherbar (quitar la maleza de los sembríos)|hallmay
deshidratado|ch'awi; ch'akisqa
deshidratar|ch'akichiy
deshierbado|qhurasqa
deshierbar|quraray; qhuray; quray; tiray
deshilado (vestido)|saksa
deshinchado|ch'usu; chhusu; ch'usu
deshincharse|punkiray
deshojar|laqhiy; rawmay
deshojar el maíz|tipiy
deshojar la mazorca del maíz|tipiy
deshoje de maíz|tipiy; t'ipi
deshollejar|t'iqway
deshonestidad|map'a
deshonesto|wachuqa; khuchi; map'a
deshonrado|mich'usqa; map'achasqa
deshonrar|alquchay; map'achay
desidioso|luqhi
desierto|t'uyt'uy; aqu pampa; ch'in pacha
desierto (adj.)|ch'in
desigual|mana kikin; ch'ulla; qhasqa; ranka; khirkichasqa; ch'ullachulla
desigual que no empareja con otro|chak'u
desigualar|ch'ullaychay; pillachay; ch'ullayachiy
desigualdad|turu kay; ch'ulla kay; pilla kay
desincharse|ch'usuyay; punkiray
desinflado|chhususqa; ch'usu; chhusu
desinflar|chhusuy
desinflarse|chhusuy; punkiray
desjarretar|q'aqchay
desliar|phaskay; paskay
desliarse|phaskakuy; paskakuy
desligable|paskakuq
desligar|paskachiy
deslindar|t'aqay
deslizable|llusk'a
deslizar|lluskhay; llusk'ay
deslizarse|suchuy; lluskhay; llusk'ay; llust'ay
deslizarse por tierra por todo lugar|suchuykachay
deslucido|thanta
deslumbrado o aturdido por luz brillante|kaqch'a
deslumbrar|surump'iy
deslumbrar (técnica de caza en la noche)|surump'iy
deslumbrarse|chharpuyay
desmalezar|quraray; qhuray; quray
desmayarse|llachuyay; t'ukuray; chinkariy
desmembrar|willuy
desmentir|mananchay
desmenuzado|ñut'u; phiri
desmenuzar|q'añuy; t'unay; ñut'upuy; chanqay; chhanqay; ch'anqay; ch'amqay; chamqay; khakukuy
desmenuzar a golpes|q'achiy
desmigajado|tunti; thunti
desmigajar|q'añuy; ñut'upuy; khakukuy
desminuir|pisiy
desmochado|qhuru; muthu; mut'u
desmochar|muthuy; mut'uy; qhuruy; muruy
desmonetizar|suyañanyay
desmontar|chaquy
desmoronable|paskakuq
desmoronar|thuñiy; thuniy; thunichiy; thuñichiy; paskachiy
desmoronarse|thuñiy; thuniy; thunikuy; thuñikuy
desnivel|riwna; lluk'anna; ch'ulla; urapata
desnivelar|riwnachay; lluk'annay; ch'ullachay
desnudar|qhastiy; ch'ustiy; q'alay; ch'uskiy; q'aray; llatanay; q'alachiy
desnudar completamente (conotación negativa de pobreza completa)|llat'ay
desnudar la camiseta|llustikuy unkuta; chutukuy unkuta
desnudarse|ch'utikuy; llatanakuy; lluch'uy; ch'uskikuy; ch'ustikuy; q'arakuy; llachuyay; q'alay; llatanay
desnudarse la camiseta|llatanakuy unkuta
desnudez|llatan
desnudo|q'ara; llatan; q'ala; mana p'achayuq; lluch'u
desobedecer|simi p'akiy
desobediente|thalu; wanana
desocupado|qasi; qhasi; yanqalla
desocupar|qasichiy; ch'usaqyachiy
desocuparse|qasiy
desolladura|iqha
desollar|ch'uskiy; ch'utiy; liqhiy; ch'ustiy; lluch'uy
desorden|rawiy; ch'ipa; t'usti; chaqru; mich'u
desordenado|chaqrusqa; ch'inqu
desordenar|siway; rawiy; ch'arwiy; thansay; t'ustiy; arwiy; qisachay; q'isachay
desorejado|walurisqa
desorientación|pawi; payi; patu
desorientado|chinkasqa; musphaq
desorientar|chinkachiy
desorientarse|muspay; musphay; pawikuy
desovar|runtuy
despachar|kachaypariy
despachar (enviar)|kachay
despacho (espiritual)|haywarisqa
despacho a los espíritus naturales que puede contener más de 200 ingredientes|dispachu; haywarisqa
despacio|allinllanta; allillamanta; allin; alliymanta; allimanta
despaciosamente|alliymanta; allimanta
despancar|tipiy
despancar la mazorca de maíz|p'anqaray
desparejo|ch'ullachulla
desparramado|ch'iqi
desparramar|siway; wisniykuy; t'akay
despedazar|t'unay
despedida|kacharpaya; kacharpaya; kacharpari
despedido|kacharpayasqa; ch'utasqa
despedir|kacharpariy; kachay; qarquy; qharquy; kachaypariy
despedir del empleo|qarquy; qharquy
despedir hipos|hik'uy
despedir mal olor|asnay
despedir mediante presión|ch'utachiy
despedirse|nusphachiy; kacharpayay
despedirse de alguien|kacharpariy
despedrar o desembarazar el solar para edificar la chacra|rukriy; kuskuy; kuskiy
despegar|k'aphtay; k'askarachiy
despegarse|hurayk'uy; uraykuy
despeinado|t'ampa; ch'aska
despejado|pichasqa
despejar|usariy; phaskay; paskay
despejar un lugar|kanpuchay
despejarse|usyay; achikyay
despejarse el día|pichakuy
despejarse la atmósfera|achikyay
despejarse la oscuridad de la noche|sut'iyay
despellejado|ch'uskisqa; qara lluch'usqa
despellejar|ch'utiy; ch'ustiy; lluch'uy; rawmay; ch'uskiy; qara lluch'uy
despellejar por completo|lluch'uy
despellejar superficial|phalay
despellejarse|ch'uskikuy
despensa|churana wasi
desperdicial|usuchiq
desperdiciar|hich'ay; usuchiy
desperdiciarse|usuy
desperdicio|qupa; q'upa; usu
desperdicios|qupa; q'upa
despertar|rikch'ay; rikch'ariy
despertar el poder del impulso|atiy rikch'ay
despertar interés|k'anchaykuriy; q'anchaykuriy
despertar las raíces|saphi rikch'ay
despertarse|rikch'ay; rikch'ariy
despeñadero|qaqapana; qhanqa
despeñar|wanqhay
despeñarse|surumuy
despiadado|walaychu; mana sunquyuq
despierto|riqch'asqa; rikch'asqa
despintar|waqlliy
desplazamiento de órganos causado por movimientos abruptos y vibraciones|llucha
desplazar|anchhuchiy; ithichiy; suchuchiy; kasqanniqmanta suchuchiy; kuyuchiy
desplazar por tierra|suchuchiy
desplegar|llamphay; phanlliy; mast'ay; llaphay
desplomar|thunichiy; thuñichiy; urmachiy; thuniy
desplomarse|thuñiy; thuniy; thunikuy; thuñikuy
desplumar|phurunnay; lluphiy
despoblado|purun
despojar|ch'utiy; qhichuy; qichuy
despojar en la guerra|atikamuy
despojar entre varios|waykhay
despojar la lana hilada de la rueca|ch'utiy
despojar o quitar el cuero|qara lluch'uy
despojar y desposeer a los vencidos|atikay
despojarse|ch'ustikuy; ch'utikuy; q'arakuy
desportillado|q'asa; q'asasqa; laqra; raqra
desportilladura|q'asa
desportillar|khallpay; laqray; raqray
desportillar un objeto|q'asay
desportillar una vasija|khankiy
desportillo|khallpa
desposar|kasarakuy
desposeer|llat'anay
despreciable|mana kaq; millay
despreciar|saqra ñawi qhaway; pisichakapuy; chiqniy; pisirpayay; alquchay; pisichay; ñakay; qisachay; q'isachay
desprender|k'aphtay; k'askarachiy
desprenderse|k'aphtiy
despropósito|mat'u
despuntar|p'utuy; phanchiy
despuntar el día|illariy
después|chaymanta; chanta; hawa; qhipatataq; qhipata; qhipa; qhipaman; pasayta; qhipanmanta
después de|hawa; -tawanpacha; -tawan; -tawankama; qhipa; pasaqtaña; ... pasaqtaña
después de eso|chaymanta
después de largo|unaymanta; unaymantaña
después-después de mañana|machuminchha; machu minchha
desramar|rawmay
destapado|q'ara
destapar|kirparay; distapay; kichay
destender|mast'aray
desterrar|mitmay; mithmay; qarquy; qharquy; wich'uy; wikch'uy; wisch'uy; wischuy
desterrar del pueblo|llaqtamanta qarquy
desterronar|qhasuy; maruy
destetar|hanuk'achiy; hanuk'ay; t'ipiy
destete|hanuk'ay; hanukay
destete (prohibir) (se produce entre el año y medio y los dos años de edad)|hanuk'ay; hanukay
destete (romper el hilo) (se produce entre el año y medio y los dos años de edad)|p'itichiy
desteñido|t'uqra
desteñir|waqlliy
desteñirse|t'uqrayay
destierro|mithmay
destinatario|chaskiq
destino|runa quyllur; qhincha
destorcer|k'uyuray; q'iwiray
destrezas|ruwaninkuna
destrozado|phiri
destrozador de enemigos|awqay chapcha
destrozar|takay; t'unay; p'akiy; phiriy; lliq'iy; llik'iy; chhalluy; thuniy
destrozar cosas que se rompen con el sonido de cristal|chhalluy
destrozar golpeando con un palo|waqtapay
destrozar las plantas o matas de la chacra arrancándolas|chaquy
destrozón|llik'ichiri
destrucción|qulluy
destruido|phiri
destruir|lliq'iy; llik'iy; qulluchiy; thuniy
destruir o quitar los terrones en la tierra de labor|k'urpay
destruir por medio de golpes físicos|phalluy
desunir|karunchachiy; t'aqay; t'aqachiy
desvanecerse|chinkariy
desvariar|muspay; musphay
desvelarse|ch'iqmiy
desventurado|pasu
desvergonzado|khuchi simi; k'ullu; map'a
desvergüenza|map'a
desvestido|q'ala
desvestir|qhastiy; llatanay; q'aray; ch'ustiy; q'alay
desvestirse|ch'utikuy; llatanakuy; q'alay; ch'ustikuy; q'arakuy; llachuyay
desviación|p'aqchiku; karuncha; wiqruku; wist'uku; ñanmanta ithiriy akna
desviar|karunchachiy; ñanmanta t'aqay; waqllichiy; ñanta patachiy
desviarse|wist'uykuy
desvio|chiqanchana ñan; chiqanchana
desvirgar|lliq'iy; llik'iy
desyerbar|hallmay
desértico|purun
detalles|yuyaykuna
detener|hark'ay; phurmuy; mut'uchiy; sayay; qhipachiy; sayachiy
detenerse|sayaykuy; hurayk'uy; uraykuy; sayapariy; sayay; sayariy; sayakuy; atikuy ...-man; atikuy
detenerse en un lugar|takyay
deteriorado por el sol por permanecer a la interperie|tunti; thunti
deteriorar|piirdichiy; waqlliy
deteriorar una cosa por el uso|mawk'ay
determinar|hamut'ay
detestable|millana
detestar|millakuy; millaykuy; chiqnipakuy; chiqniy
detestarse (uno a otro)|chiqninakuy
detonador|kuwitillu
detonar|t'uqyay
detractar|tumpay; tunpay; rimay
detrás|qhipan; qhipa
detrás de|qhipa
detrás del cuello|much'u
detrás del primero|qhipa
deuda|manu; ayni
deudor|manu; manuyuq
devanar|khiwiy; kururuy
devastar|q'aruy
develarse (no poder conciliar el sueño)|ch'iqmikuy
devolver|tikrachiy; kutichiy; qupuy; churapuy
devolver algo que le prestaron|kutichipuy
devolver una por otra|kutichiy
devolverle la ayuda recibida|aynikutichiy; ayni qupuy
devorar|uquy; mikhuy; mihuy; millp'uy
devorar ávidamente|suqsuy
deyección|akay
dia y noche|tutap'unchay
diablillo|iqiqu
diablo|tataku; supay; diyablu; saqra
diabólico|millaymana
diadema|llantu; llaytu; llawt'u
diadema (llauto) de los incas, tejido de diversos colores|pillaka llaytu; pillaka llawtu
diadema (llaytu) de dos colores, morado y negro tejidos en contra|pillaka llaytu; pillaka llawtu
diadema del inca|maskaypacha; maskapaycha; maskhapaycha
diafragma|laqulla
diagnosticar|rikuy
diagonal|ch'iqalluwaq
diagrama|supancha; diyagrama; supaqillqa; supat'iktu
dialogar|rimanakuy; rimay
diamante|qhispi umiña
diamantes menudos comunes en cintas pequeñas|llama ñawi
diametral|raqthaqpa
diametralmente|manyanmanta manyanman; raqthanta raqrispa; huknin patmanninmanta waqninkama
diariamente|p'unchaynintin
diario|sapa p'unchay
diarrea|q'icha; q'ichalira; q'ichiriya
dibujado|pallasqa
dibujar|llimphiy; llinphiy; qhilqiy; qillqay; qilqay; qhilqay; qilqiy; riqhiy; dibuhay; siq'iy; siq'inchay; t'iktuy; lantiy
dibujo|siq'i; siq'isqa; siq'ikuna; dibuhu; dibuyu; t'iktuy allwiya; t'iktuku
dibujo de tejido|pallay
diccionario|simi taqi; simikuna; rimayqillqa
dicen|ninku
dicen que|-si; -s
dicha|kusi; sami; runa quyllur; kusiqillpu; qillpu; qiypu; ataw
dicho|nisqa; ñisqa; niy
dichoso|samiyuq
diciembre|disimri; hatun raymi killa; para qallariy killa; puquy raymi killa; puquyraymi
diciembre (en la era de los Inkas: Festejo del señor sol. En este mes hacían grandes sacrificios al sol. Se dice que enterraban quinientos niños y niñas inocentes|qhapaq inti raymi killa
diciplinar|yachachiy
dicisieteavo|chunkaqanchis ch'iqta (1/17)
dictador|suq'alliq
dictar decretos|kamachiy
didelfo|q'arachupa
didáctica|yachachiy allwiya; thaykay allwiya
diecinueve|chunka isqunniyuq; chunka isq'unniyuq
diecinueveavo|chunka isqun ch'iqta (1/19)
dieciocho|chunka pusaqniyuq
dieciochoavo|chunkapusaq ch'iqta (1/18)
dieciseis|chunka suqtayuq
dieciseisavo|chunkasuqta ch'iqta (1/16)
diecisiete|chunka k'anchisniyuq; chunka qanchisniyuq
dieciséis|chunka suqtayuq
diente|kiru
diente careado|kiru t'uqu
diente de cobre|anta kiru
diente de león|pilli-pilli; saqa saqa
diente incisivo|punku kiru
diente molar|k'ama
dientes incisivos|punku kiru
diestro|phichu
diez|chunka
diez veces cinco (cincuenta)|chunka kuti phishqa
diez veces diez (ciento)|chunka kuti chunka
diezmillonésimo|chunka hunu ch'iqta (1/1000000) chayri (0.000001)
diezmilmillonésimo|chunkawaranqa hunu ch'iqta (1/10000000000) chayri (0.0000000001)
diezmilésimo|chunka waranqa ch'iqta (1/1000) chayri (0.0001)
difamar|qhillichay; map'achay; tumpay; tunpay; rimay
diferencia|huqhina kay; puchuq; wak hina kay
diferente|huk hina; sapaq; chaku; huqninraq; wak; waq
diferir|huk hinachay
dificultad|sasachay
dificultar|sasachay
