'a || a || venir de arriba abajo;desprenderse;caerse;desplomarse;caer;derrumbarse
moingo || a || conseguir;residir o vivir;poner en marcha;alcanzar;hacer funcionar;hacer andar;hacer habilitar;hacer caminar;hacer alcanzar;producir;dar vida;hacer que ocurra
moirũ || a || ayuntar;juntar;asociar;acompañar;agregar;secundar
mokunu'ũ/mokũnu'ũ || a || mimar;halagar;acariciar;mimar con la palabra
mokã || a || secar;disecar;enjugar
mokambu/mokãmbu || a || amamantar;lactar;hacer mamar;dar el pecho
mokõ || a || deglutir;beber bebida alcohólica;sufrir;ingurgitar;ingerir;soportar;tragar;engullir
momaitei || a || dar saludos;hacer saludar;saludar;dar la bienvenida
momba || a || polucionar;rematar;agotar;terminar;derramar;eyacular;finalizar;acabar;hacer cesar;concluir;exterminar;completar
momba'apo || a || dar empleo o trabajo;ejercitar;hacer trabajar;ocupar;atarear;hacer andar
momba'e || a || honrar;felicitar;sentir;estimar;exagerar;considerar;dar importancia;admirar;ponderar;alabar;apreciar;respetar;hacer valer
momba'eguasu || a || respetar
mombe || a || aplastar;deshacer una cosa aplastándola;abollar;tumbar;inclinar;aplanar;agachar;achatar;apretar
mombe'u || a || contar;delatar;referir;cuento;avisar;participar;confesar;narrar;comunicar;decir;narración;relatar;revelar;noticiar
mombia || a || apartarse de;disuadir;descarriar;descarrilar;virar;apartar;rechazar;desviar;evitar;hacer desviar o salir del camino
mombo || a || proyectar;echar;lanzar;largar;desoir;impulsar;tirar;arrojar;disparar
mombo'o || a || quitar el pecho;dejar de lactar;despechar;destetar;desmamar
mombu || a || reventar;violar;hacer que se habra un forúnculo;sacar pus;desflorar
mombuetia'e || a || poner de buen humor
mombytu'u || a || calmar;acallar;relevar;hacer dormir;aliviar;sedar;tranquilizar;hacer descansar
mombáy || a || despertar;impresionar;concientizar;hacer despertar
momorã || a || adular;aprovar;felicitar;autorizar;refrendar;alabar;elogiar;admirar;dar importancia;respetar;dar por correcto;recomendar;autenticar;legalizar
mona || a || encolar;untar;tiznar;estregar;engomar;embadurnar;pegar;colar
monda || a || sustraer;robar;despojar;saquear;hurtar
monde || a || poner vestido;vestir;poner la ropa
mondo || a || metamorfosear;remitir;ordenar;alejar;mandar;hacer ir;enviar;convertir
mondoho || a || rasgar;rasguear;soltar;ganar en el juego en una apuesta todo el dinero;tocar
mondoro || a || abrir la tierra;arrancar;desgarrar;romper o hacer pedazos de tejidos;separar con violencia las partes de un todo;rasgar;romper;quebrar o hacer pedazos una cosa;sacar con violencia una cosa
mondýi || a || atemorizar;amedrentar;asustar;ahuyentar;acobardar;espantar;sorprender
mongakuaa || a || alimentar y cebar aves u otro animales;desarrollar;educar;criar
mongarai || a || consagrar;bendecir;bautizar;cristianar;santificar;hacer bendecir;iniciarse en algo
mongaru || a || alimentar;dar alimento
mongeta || a || tratar una propuesta amorosa;cortejar;charlar;conversar;tratar un asunto;hablarle a alguien;sostener un trato amoroso por medio de la conversación;dirigirle la palabra a alguien tratando de convenser aconsejando
mongolo || a || colorear;teñir;pintar
monguera || a || devolver la salud al enfermo;curar;restituir a uno la salud
monguerái || a || causar tedio;cansar;incomodar;aburrir;fastidiar;molestar;enfadar
mongy || a || embellecer;hacer llover
mongy'a || a || deshonrar;difamar;contaminar;viciar;poluir;desprestigiar;manchar la fama;manchar con tizne u otra materia semejante;ensuciar
mongyhy || a || asustar
mono'õ || a || tener lucro;cosechar;reunir;recoger;recolectar;ganar;reclutar;juntar
mopane || a || desilusionar
mopeteĩ || a || organizar;uniformar;aunar;unirse;hacer uno;unificar;coordinar
mopo'ẽ || a || hacer que uno se equivoque en algo;meter la pata;hacer meter la mano
mopopy'ỹi || a || dispensar en abundancia
moporãve || a || superar;mejorar;adentar;perfeccionar
mopotĩ || a || limpiar;higienizar;sacar la suciedad;depurar;asear;purificar
mopu'ã || a || desarrollar;levantar;hacer poner de pie;erguir;hacer levantar
mopẽ || a || tronchar;fracturar;vencer;romper;trozar;quebrar
mosaingo/mosãingo || a || tender;colgar;hacer pender;suspender
mosarambi || a || extenderse;esparcirse
moña || a || correr una carrera;correr detrás;correr a uno;engendrar;correr a otro o ser corrido;correr tras de algo o de alguien;perseguir;hacer correr;seguir
moñandýi || a || untar
moñe'ẽ || a || hacer hablar el uno con otro;pronunciar;articular sonidos para hablar;hacer hablar;leer
moñeko'õi || a || molestar;irritar;indignar;ofender;causar disgusto;fastidiar;enojar;picar a uno de palabras;desagradar;disgustar;enfadar
moñenoña || a || criar
moĩ || a || colocar;poner;meter;depositar;situar;poner a una persona o cosa en su lugar
moĩve || a || aumentar;agregar;recargar;añadir;poner más;adicionar;sumar
muangapyhy || a || satisfacer
muapesã || a || enfardelar;atar
muasãi || a || esparcir
muatymói || a || columpiar
muaña/myaña || a || impeler;malear;forzar;arrimar;repeler;inducir;azuzar;impulzar;propulsar;empujar
mumu || a || abundar;pulular;haber en abundancia;hormiguear;reunirse;bullir;murmurar
myakỹ || a || rociar;salpicar;mojar;empapar;humedecer;impregnar;regar
myangekói/myãngekói || a || hostigar;importunar;desasosegar penar;incomodar;aturdir;inquietar;atormentar;acongojar;molestar;interrumpir;turbar;perturbar;sorprender
myasãi/moasãi || a || vulgarizar;extender;tender;propagar;difundir;repartir;divulgar;publicar;desenvolver;esparcir;desplegar;desparramar;dispensar
myatymói || a || cunar;columpiar;balancear;mecer;hamacar
myatyrõ || a || componer;remediar;reparar;ordenar;sanear;arreglar;remendar;poner en orden;mejorar
myatã || a || consolidar;estirar;afirmar;atrancar;asegurar;endurecer;poner firme
myendy || a || prender;encender;inflamar
myenyhẽ || a || satisfacer;atiborrar;cargar;rellenar;colmar;llenar;completar
mýi || a || menearse;moverse
ndyryry/ndyry || a || acometer;franquear;embestir con fuerza;precipitarse;romper obtáculos;romper;atropellar;arremeter;romper obstáculos;atacar
ndyvu || a || escupir;salivar
nga'u || c || tener añoranza
nguru || a || murmurar;gruñir;rezongar
ngururu || a || gruñir;murmurar;refunfuñar;rezongar
no'õ || a || reunirse;amontonarse;congregarse;juntarse
nohẽ || ague || extirpar;extraer;sacar;quitar;esquivar
nohẽuka || a || publicar
nupã || ai || hostigar;pegar;obrar;castigar;golpear;azotar;zurrar;comportarse
néi || c || consentir;permitir
oĩ || a || hay;existir;haber
pa || a || cesar;terminar;agotarse;acabarse;acabar;sucumbir
pa'ã || a || parar;depender;obstruirse;atorarse;trancarse;atascarse
pane || c || tener mala suerte
papa || ai || contar;enumerar;sumar;computar;calcular
pararã || a || hacer ruido
pe'a || ai || separar;quitar;suprimir;arrebatar;sacar;excluir;apartar;sustraer;retirar;derogar;privar;restar;abrir;eliminar;destapar;usurpar
pe'o || ai || despellejar;descascarar;pelar;picotear;sacar un pedazo;quitar la corteza;descortezar
pehe'ã || a || despedazar
peju || ai || avanicar;ventilar;aventar;soplar
pepe || a || aletear;palpitar;estremecerse
pepi || ai || arremangarse;descubrirse;arregazar;levantar las faldas;levantarse la falda;alzar la ropa
perere || a || aletear;latir rítmicamente;palpitar;revolotear;latir;titilar;vibrar
pi || a || terminar de;escampar;extinguirse
pipi || ai || revolotear;menear;irritarse
pirakutu || ai || dormitar sentado;pescar
pire'o || ai || despellejar;descascarar;desollar
piriri || a || chisporrotear
pirĩ || c || estremecerse
pita || a || fumar
piã || a || desamparar;abandonar;esconderse;dejar;desprenderse;desistir;huir;piar;retirarse;escaparse;desatender;fugarse
po || a || saltar
po'a || c || tener suerte
po'o || ai || recoger;coger;arrancar
po'ẽ || a || poner la mano;meter la mano;perder la ganancia de un negocio
pochy || c || enojarse
pohãno || a || medicar;medicinar;curar
poi || a || soltar;largar;desatar;eyacular
pojái || c || poder;alcanzar;alargar la mano
poka || ai || dar vueltas a una cosa;estrujar;encorvar o doblar una cosa recta;torcer;retorcer
poko || a || tocar;palpar
pokua || ai || atar de manos
poravo || ai || escoger;elegir
poreno || ai || depositar;colocar;hacer el amor;poner;crear;joder;introducir;incluir;copular;follar;fornicar;mantener una relación sexual;hacer el sexo;meter
poroapo || a || valorar;apreciar
porombo'e || a || enseñar
poromboekovia || a || representar
pororo || a || estallar ruidosamente;crepitar;crujir;chisporrotear
poru || ai || emplear;prestar;habitar;ocupar;usar;pedir prestado;aprovechar;utilizar
porujevy || ai || reciclar
poruka || ai || dar en préstamo;prestar;dar prestado
porandu/porãndu || a || preguntar;interrogar
porãnguereko || a || recomendar;estimar;apreciar
pota || ai || anhelar;desear;desear algo;codiciar;querer
potaiterei || ai || ansiar
potave || ai || preferir;querer más
poti || a || cagar;morir;cagar involuntariamente;fallecer
povyvy || ai || registrar;palpar;buscar a tientas;resolver;hurgar;buscar con la mano;buscar;remover cosas en busca de algo
povã || ai || hilar;hacer el hilado por torcido a mano;hacer hilo;doblar;tejer
poñy || a || gatear
pu || a || explotar;surgir;estallar;sonar
pu'aka || c || ser poderoso;vencer
pu'ã || a || elevarse sobre una superficie;sobresalir;surgir;emerger;levantarse;erguirse
puka || a || reír;reir;reírse
pukavy || a || reír a medios;sonreir;sonreír
pupu || a || hervir
purahéi || a || cantar
pururũ || a || crujir
py'aguapy || c || tener paz;estar tranquilo;tranquilizarse
py'aho || c || prendarse;recordarse;suspirar;preocuparse
py'apopo || a || sobresaltarse;asustar;provocar un temor;espantarse
py'apy || ai || causar malestar;afligir;quebrantar;apenar;quebrantarse;preocuparse
py'aro || a || sentir odio;odiar;tener rencor
pyaha || ai || vivir;componer;tramar;tejer;pasarlo
pyahu'o || ai || desflorar;violar
pyahẽ || a || lamentarse;quejarse;clamar;gemir;plañir;sollozar
pyho || c || resbalar;dar traspies;dar un resvalón
pyhy || ai || coger;capturar;atrapar;tomar;joder;asir;prender;follar;fornicar;agarrar
pykua || ai || atar los pies
pynõ || a || pedar
pyryrỹi || c || bailar;dar vueltas;girar veloz y repetidamente;girar;moverse rápidamente y sin salir de un espacio determinado
pyrũ || a || pisotear;apretar con el pie una cosa;apoyar el pie;aventajar;patear;pisar;hollar;poner el pie sobre alguna cosa
pyso || ai || distender;extender;desenvolver
pysyrõ || ai || librar de peligro;salvar;proteger;librar;ayudar;perdonar;libertar;defender
pysyrýi || c || resbalar
pyta || a || pararse;quedar;detenerse;quedarse
pyte || ai || chupar;sorber
pytu'u || a || descansar;aliviarse;sosegarse;recrearse;reposar;descanzar
pytuho || a || sofocarse
pytuhẽ || c || respirar;suspirar;exhalar
pytyvõ || ai || servir;ayudar
pyvoi || a || dar patadas;patear;cocear
pyvu || ai || batir;remover;revolver;agitar
páy || a || despertar;despabilarse;volver en sí;despertarse
pẽ || a || romperse;fracturarse;quebrarse un objeto largo y rígido
raha || ague || llevar
rambi || a || dormir;cabecear;descabezar el sueño;dormitar;dormir con sueño poco profundo
rambosa || a || desayunar;almorzar
reko || ague || mantener;tener;poseer;actuar;portarse
ro'y || c || tener frío
roguata || ague || llevar de paseo;encaminar
rohory || ague || felicitar;apreciar;celebrar;agasajar;elogiar;vitorear;festejar
roja ||  ague || acarrear;transportar
rojy || ague || bajar;disminuir de precio;descolgar;bajar lo colgado;rebajar;poner en sitio inferior;bajar algo;arrancar
rombyasy || ague || sentir;lamentar;dar los pésames;condolerse
ropehýi || c || tener sueño
ropo'ẽ || a || meter la mano
ropojái || ague || ofrecer;proporcionar;alargar;dar
ropurahéi || a || cantar
ropyhare || a || pasar la tarde
rova || ague || mudar;transplantar;acarrear;trasladar;cambiar de un sitio a otro cosas o seres;cambiar de lugar
rovia || ague || confiar;creer;estimar;considerar
royrõ || a || odiar;despreciar;repudiar;poner reparo;poner peros;abominar
ru || ague || traer;portar;presentar;eyacular
ruruka || a || hacer traer
ryrýi || a || temblar;tiritar
sapukái || a || cantar en voz alta;clamar;gritar
sapymi || a || morir;entornar los ojos;cerrar voluntaria y fuertemente los ojo
so || a || romperse;cortarse;quedar sin dinero;carecer de todo;no tener lo necesario
sogue || c || estar sin nada;carecer de dinero
soro || a || romperse;reventar;correr;estallar;prorrumpir
su'u || ai || masticar;morder;sufrir
sunu || a || causar ruido o estampido;tronar
sururu || a || meterse;introducirse;allanar;introducirse deslizandose y con cierta violencia;entrar fuertemente
susũ || a || temblar;dar sacudidas
syry || a || escurrirse;correr;fluir;desaparecer
syryry || a || deslizarse;reptar
sysýi || a || temblar;tiritar;estremecerse
saingo/sãingo || a || depender;suspenderse;estar colgado;colgarse
sambyhy/sãmbyhy || ai || dirigir;guiar;manejar;conducir;gobernar
sẽ || a || salir
tapi'a'o || a || castrar
tarara || a || retemblar con estrépito
tarova || c || enloquecer
taryrýi || c || ser ávido de;codiciar
timbo/tĩmbo || a || perder un puesto;escapar;humear;producir humo;desaparecer;huir con rapidez de un lugar;levantar polvo;hacer polvareda
tindy || c || andar cabizbajo
tiri || a || resquebrajarse;relampaguear;rajarse
tokoro'o || a || cantar del gallo
topa || a || encontrar
tororõ || a || borbollar
turuñe'ẽ || a || silbar
tykua || ai || cargar un líquido de un recipiente a otro;servir una bebida;cebar el mate;echar o agregar líquido;cebar mate
tyky || a || gotear un líquido;destilar;gotear;escurrir
typei || ai || barrer
typeka || ai || rebuscar;escabar;remover
tytýi || a || latir
tĩ || a || tener verguenza
tĩsyry || c || estar resfriado
tũ'o || a || despiojar;sacar piques
va || a || trasladarse;contagiarse;transformar;quitarse;variar;cambiar de casa;migrar;mudarse
vale || a || valer
vare'a || c || tener hambre
vava || a || vacilar;trastabillar;oscilar
vende || a || vender
vera || a || brillar;relampaguear;resplandecer;lucir
veve || a || flamear;remontar;volar;ondear
vira || a || repetir la comida
vu || a || fermentar;empezar a corromperse;alterarse;inflarse;ufanarse;brotar;hincharse;engreirse;envanecerse;enorgullecerse;estar hinchado
vy'a || a || sentir alegría;alegrarse;ser feliz;estar alegre;estar contento;divertirse
y'u || a || beber;beber agua
y'uhéi || c || tener sed
ãho || c || desear;penar;suspirar;añorar
ambu/ãmbu || c || bufar;resollar;resoplar;roncar;quejarse;gemir;jadear;respirar fuerte o ruidosamente
angapyhy/ãngapyhy || c || sentirse contento;tener gozo;estar satisfecho;sentirse consolado;tener satisfacción;tener felicidad
ñaha'ã || a || disparar;jugar a;tirar
ñakãity || a || agacharse;dar cabezada;aprobar;inclinar o agachar la cabeza;afirmar;inclinar la cabeza;saludar o reverenciar con la cabeza;reverenciar
ñakãpytĩ || a || vendarse;atarse la cabeza
ñalmira || a || admirarse
ñangareko || a || cuidar;proteger;guardar;asistir;atender;vigilar;custodiar
ñangarekouka || a || encargar
ñangekói || a || preocuparse
ñani || a || correr;correr simplemente;andar velozmente
ñapymi || a || sumergirse;zambullirse;perderse todo el sujeto;hundirse;clavarse;anegarse
ñapytĩ || a || uncir;ceñir;ligar;enlazar un concepto o un recuerdo con otro;atar;amarrar;liar
ñapĩ || a || peluquear;cortarse el cabello;roer;cortar el pelo;pelar;rasurar;cortar crin;mondar
ñatói || a || tocar;rasguear
ñe'ẽ || a || hablar;conversar
ñe'ẽmbegue || a || cuchichear;chismear;hablar en voz baja
ñe'ẽme'ẽ || a || comprometerse;prometer;jurar
ñe'ẽpyta || a || balbucear;tartamdear
ñeha'ã || a || intentar;tratar;intentarse;tentar;esforzarse;procurar;luchar;simular;probar gustar;medirse;catarse;ser blanco de los tiros;empeñarse;ser medido
ñehendyvapo || a || hacerse la barba;afeitarse
ñehẽ || a || verterse;desbordarse;derramarse
ñeko'õi || a || disgustarse;enfadarse;irritarse;ofenderse;enojarse;rabiarse;resentirse
ñekuave'ẽ || a || ofrecerse
ñekytĩ || a || cortarse;herirse con arma blanca
ñekũmberéi || a || relamerse;lamerse los labios
ñembiso || a || apisonar;pisotear;quebrantar;majar en mortero;triturar;golpear;moler;machacar;pisar;pisar con mano de mortero o pizón
ñembo'e || a || rezar;aprender;orar;hacerse enseñar;ser enseñado
ñembo'euka || a || ordenar rezar;aprender;pedir oraciones;hacerse enseñar
ñembo'y || a || ponerse o estar de plantón;estar parado;estar de pie;erguirse sobre los pies o las patas;ponerse de pie;pararse
ñembo/ñembu/ñemby || a || volverse;simular ser
ñembohete || a || encarnarse;tomar cuerpo
ñembohory || a || burlarse;hacerse alegre;alegrarse;burlarse ironicamente;mofarse;fingir alegría;bromear;reirse burlonamente
ñemboi || a || desvestirse;desnudarse;destapar
ñemboja || a || pegarse;adherirse;arrimarse;aproximarse;acercarse
ñembojapiro/ñembojapyro || a || masturbarse
ñembojere || a || virar;darse vuelta;girar
ñemboki || a || gustarse por alguien;cortejar;galantear;afilar;andar en amores;prendarse;festejar;empilarse;coquetear;flirtear;enamorarse;empicarse
ñembosako'i || a || hacer los preparativos;alistarse;prepararse;equiparse;aprestarse;aprontarse;apercibirse
ñembosarái || a || jugar
ñembotavy || a || hacerse el tonto;ser engañado;cerrar los ojos a la verdad;equivocarse;desentenderse;engañarse
ñemboty || a || encerrarse;taparse;estar cerrado;obturarse;recluirse;ser recluido;cicatrizarse;clausurarse
ñembuesa'i || a || guiñar
ñembyahýi || c || tener hambre;hambre
ñembyai || a || indisponerse;echarse a perder;desintegrarse;destruirse;desarreglarse;ulcerarse;deshacerse;descomponerse;desarmarse;corromperse;estropearse
ñembyasy || a || lamentarse;lamentar;dolerse;sentir;afligirse;entristecerse;sentirse;apenarse;condolerse;sentirse apesadumbrado;inquietarse;arrepentirse
ñembyaty || a || acumularse;aglomerarse;concurrir;juntarse;reunirse;amontonarse
ñemi || a || esconderse;ocultarse;desaparecer
ñemitỹ || a || sembrar;plantar;cultivar
ñemo'ã || a || suponer;imaginarse;defenderse;conjeturarse;suponerse;creerse;sospecharse
ñemoatã || a || endurecerse;afianzarse;ponerse rígido
ñemohenda || a || acomodarse;ubicarse;establecerse;hacerse o buscarse un lugar o sitio;instalarse
ñemomarandu/ñemomarãndu || a || ser o estar advertido;ser notificado;comunicarse;recibir notificación;ser informado;prevenirse;informarse;recibir noticia;notificarse;comunicar;avisarse
ñemomini || a || empequeñecerse;humillarse
ñemomombyry || a || alejarse;aluengarse;apartarse;retirarse
ñemomýi || a || arrancar;andar;movilizarse;derribar;desprenderse;empezar a andar;menearse;ponerse en marcha;disminuirse la firmeza;moverse;ser movido;aflojar;hacer caer
ñemonde || a || vestirse;guarnecerse;disfrazarse;ponerse la ropa;arroparse
ñemongeta || a || hablar a solas;charlar;galantear;conversar;declarar el amor;departir;tratar con otra persona;platicar;conferenciar;hablar;dirigirle la palabra
ñemopa'ũ || a || abrirse paso;hacerse intervalo;manifestarse;hacerse lugar;hacerse espacio
ñemoporã || a || decorarse;embellecerse;convertirse en bueno;acicalarse;aprobarse;hermosearse;ensalzarse;hacerse bueno
ñemotenonde || a || precederse;adelantarse;anteponerse;ganar;pasar o ser llevado a vanguardia;antecederse;adelantarse o tomar la delantera
ñemoña || a || criar;engendrar;reproducir;ser perseguido;crear;procrear
ñemoĩ || a || luchar;resistirse;ponerse;ubicarse;enfrentarse;imponerse;ser establecido;oponerse;ser puesto;colocarse;forcejear
ñemu || a || feriar;comerciar;contratar;mercar;vender;negociar;tratar
ñemyatã || a || resistir;hacerse duro;estirarse;tensionarse
ñemyrõ || a || disgustarse;enfadarse;dolerse;ofenderse;estar ofendido;resentirse;agraviar;ofender
ñemýi || a || ser impulsado;ser movido;arrancar;estar o ponerse en movimiento;moverse
ñendyvu || a || arrojar saliva;escupir
ñenguahẽ || a || retirarse;escapar;huir
ñeno || a || acostarse;tumbarse;estar o ponerse acostado
ñepyrũ || a || comenzar;iniciar;principiar
ñepysanga/ñepysãnga || a || tropezarse;tropezar
ñepyta'ã || a || estribar;esforzarse;empinarse;pararse o ponerse en puntillas de pies;apuntalarse;levantar el talón
ñesũ || a || reverenciar;arrodillarse
ñetinga/ñetĩnga || a || golpearse la nariz;caerse de nariz;bajar la cabeza
ñeñandu || a || ser sentido;ser percibido;sentirse;darse cuenta;ser captado;caer en la cuenta
ñeñoña || a || penetrar;introducirse
ñomomarandu || a || comunicar
ñomongeta || a || dialogar;conversar;entrevistar
ñongatu || a || cuidar;guardar;ahorrar;reservar;esconder;custodiar
ñopytyvõ || a || colaborar
ñopũ || a || afligir;lastimar;herirse;agraviar;ofender;atormentar;dañar;molestar;lastimar una herida ya existente;enconar;causar daño y dolor
ñopẽ || a || tejer;retorcer;enlazar;entrelazar;entrenzar;entretejer;unir;trenzar
ñorairõ/ñorãirõ || a || pelearse;luchar;guerrear;reñir;agredir;atacar;atacarse mutuamente;acometer;combatir;batallar
ñoty || a || plantar;sembrar;cultivar;enterrar
ñovaitĩ/ñuvaitĩ || a || encontrarse
ñoña || a || embutir;hacer el amor;copular;introducir;envasar;meter;fornicar;mantener una relación sexual;poner o meter adentro y no sacar más
ñuvã/ñuã || a || tapar;abrigar;cubrir;resguardar del frío;proteger
ñyrõ || a || perdonar;disculpar;conceder la absolución de una pena
ñyñýi || a || arrugarse;encogerse;hacerse un ovillo;tullirse;aterirse;acalambrarse;marchitarse;acurrucarse;mermar;secarse
guahẽ/ĝuahe/ĝuahẽ || a || llegar;arribar;alcanzar
apouka || a || mandar hacer
euka/'euka || a || mandar a decir;comunicar;informar;participar;anunciar;hacer saber;hacer decir
rahauka || ague || enviar para allá;hacer llevar;mandar;enviar;enviar algo por correo;hacer transportar cosas por alguien
rochĩchĩ || ague || felicitar;celebrar;agasajar;elogiar;vitorear;festejar;congratular;alabar con palabras cariñosas;acariciar
rosapukái || ague || proclamar;anunciar algo en voz alta;vocear insultando a alguien
rotyvyro || ague || sacudir violentamente;criticar ácidamente a alguien
rovu || ague || hincharse;enojarse
rovy'a || ague || recibir con satisfacción
ruka || ague || hacer traer
ro'a || ague || abatir;echar;vencer
roayvu || ague || celebrar;festejar;saludar
rojái || ague || lastimar a alguien;maltratar
<hekauka || a || mandar a buscar;hacer buscar
<henduka || a || relatar;pregonar;mandar oir
<hupytyuka/<hupityuka || a || hacer accesible;hacer alcanzar al que va adelante
jejajura'o || a || degollarse;ser degollado
je'a || a || hurgar;caerse
je'ói || a || retirarse o marcharse juntos
je'opara/je'opere || a || desteñirse en forma parcial
je'u || a || comerse;ser comido;ser poseído;ser estafado
je'upa || a || ser estafado
jea'yro || a || dejar cría;desovar la mosca
jeahose || a || excederse
jeahy'opyari || a || componerse la garganta
jeajuvoka || a || estrangular;acogotar;torcer el cuello;torcerle el pescuezo a un ave;torcerse el pescuezo
jeapa || a || volver
jeapajeréi || a || revolcarse;volcarse;rodarse;deslizarse;darse vueltas;darse vueltas varias veces;rodar o dar vueltas en el suelo;resbalar sobre un líquido
jeapakua || a || acurrucarse
jearo || a || abreviar;acortar
jearu || a || malograrse;descomponerse;salir mal de una cosa;alterarse;descomponerse una comida o herida
jeasojavo || a || nacer;descubrirse
jeavýi || a || equivocarse;equivocar;errar
jeavyky || a || peinarse
jeayro || a || desovar la mosca sobre herida o comestible
jecha || a || verse
jechakatu || a || ser considerado;verse considerado;encontrarse considerado por
jechakuaa || a || darse cuenta;notar;saber ver
jedesobliga || a || desobligarse;dejar de tener responsabilidad
jegua || a || estar adornado;adornarse;lucirse
jegue || a || desaparecer
jegueropopo || a || demostrar profunda indignación
jegusta || a || enamorarse;festejar;afilar
jeguyru || a || entrar por debajo
jehague'o || a || quitarse el pelo;quitarse la pluma;quitarse el bello;depilarse;ventosear
jehaitypo || a || hacerse de nido
jehapo'o || a || arrancar de raíz
jeharu || a || descomponerse;malograrse;salir mal de una cosa;alterarse;descomponerse una comida o herida
jehase || a || acostumbrarse;habituarse;encariñarse;aquerenciarse
jehayhu || a || ser amado;amarse;quererse
jehayhuka || a || hacerse querer;hacerse amar;provocar el amor
jehecha || a || aclarar;poner en claro;transparentar;verse;ser visto
jehechakuaa || a || darse cuenta de algo;notar;saber ver
jeheja || a || dejarse;desligarse
jehejarei || a || abandonar sin razón
jehekai || a || perder en un negocio
jehekome'ẽ || a || entregarse;someterse
jehekovepe'a || a || privarse de los recursos de la vida
jehekovereka || a || procurarse la vida
jehekuavo || a || derramarse;desembocarse;desparramarse por el suelo
jehepeña || a || atacar;impulzar;seguir un rumbo
jehepyme'ẽ || a || efectuar pagos
jehero || a || apodarse;llamarse;nombrarse;tener o poner apodo o sobrenombre
jehesa'o || a || seleccionar;mirar fijamente por alguien o algo;arrancar o sacarse el ojo
jehesape'a || a || instruirse;ilustrarse;sacarse uno mismo de la ignorancia;abrirse los ojos;darse cuenta;despertarse;atender;atender mirando;prestar atención;abrirse los ojos;observar
jehesareko || a || atender;cuidar;prestar atención;prestar o dirigir la atención con interes sobre algo
jehesaupi || a || alzar la vista
jehesy || a || quemarse al sol
jehetepoka || a || retorcerse el cuerpo;deperezarse
jehetepyso || a || desperezarse;extender los miembros
jehogapo || a || hacerse de casa;construirse la casa;edificarse la casa edificar para sí
jehovañemi || a || avergonzarse;taparse la cara
jehovapi || a || enfrentar con la verdad
jehovapyso || a || eliminar las arrugas;realizar la cirugia plástica de la cara
jehupa'o || a || marcharse;cambiar de domicilio;cambiar la casa;prepararse;sacarle la cama a alguien
jehupapo || a || hacerse el nido el ave;hacerse el hábitad;hacerse la cama
jehupavo || a || marcharse;cambiar de domicilio;cambiar la casa;prepararse
jehýi || c || adormecerse la mano;entumecerse;adormecerse;sentir hormigueo
jeisu'u || a || morderse;morder
jeity || a || echarse;arrojarse;tirarse;tirarse sobre otro;lanzarse;dejarse caer;caer;caerse;desplomarse;derribarse
jeityvyro || a || sacudirse el polvo
jeja'o || a || ser retado;ser reprendido;ser observado;ser insultado;ser ofendido
jejaho'i || a || cubrirse;tapaerse;ser cubierto;cobijarse;abrigarse;arroparse
jejahu || a || bañarse
jejapete || a || golpearse;chocarse contra el suelo;topetar contra algo con violencia
jejapi || a || ser herido con proyectil;herirse;dispararse;ser acertado;acertarse;acertarse con un proyectil;recibir un tiro;herirse recíprocamente;chocarse;golpearse dos cuerpos entre sí
jejapo || a || ser engreído;vanagloriarse;hacerse;hacer fingir;simular;aparentar
jejapokói || a || tomarse;aprehenderse;asirse;agarrarse
jejapopa || a || terminarse;concluirse;finalizarse;clausurarse
jejapyhy || a || tomarse;aprehenderse;asirse;aferrarse;sostenerse
jejaty || a || ser cubierto de tierra;enterrarse;ser enterrado;cubrirse o taparse con tierra
jejatyko || a || reclinarse;apoyarse;recostarse
jejavo'ói || a || enredarse;embrollarse;confundirse;ser confundido
jejepokua || a || retorcerse
jejoapi || a || tirarse;acertarse o herirse mutuamente con bala u objeto arrojadizo
jejogua || a || comprarse;asemejarse;parecerse;compararse
jejohéi || a || lavarse
jejohu || a || encontrarse
jejoka || a || romperse;quebrarse
jejokua || a || atarse;ser atado;amarrarse;pegarse;castigarse;golpearse
jejokuái || a || ser ocupado;ocuparse;ser mandado;ser enviado;ser comisionado;emplearse;destinarse;ser destinado
jejope || a || ser calentada una cosa al sol o al fuego
jejopi || a || ser picado
jejopoi || a || separarse;desprenderse;divorciarse;desligarse el uno del otro
jejopói || a || obsequiarse;regalarse
jejopy || a || apretarse;comprimirse;estrecharse;empeñarse;andar en apuros
jejopyru || a || relevar
jejora || a || desatarse;desamarrarse;solatarse;desligarse;descoserse
jejoso || a || pisarse;golpearse;chocarse;golpearse dos cuerpos entre sí;topetarse;toparse;tropezar con alguien;tropezarse
jejovahéi || a || lavarse la cara
jejovasa || a || santiguarse;persignarse
jejuapi || a || acertarse
jejohuka/jejuhuka || a || hacerse encontrar
jejuka || a || suicidarse;ser asesinado
jejupi || a || treparse;subirse;montarse;ascenderse
jejura || a || ser o estar cogido;ser enlazado;acollarse;comprometerse en matrimonio y realizarlo
jejuru'o || a || romperse la boca de un recipiente;arengar;desbocarse;decir las verdades sin miedo
jejuruhéi || a || enjuagarse la boca;gargarizar;lavarse la boca
jejuruhýi || a || limpiarse la boca superficialmente
jejuruka || a || desbocarse el caballo
jejurupe'a || a || abrirse la boca
jejuvy || a || ahorcarse;ser ahorcado;ser estrangulado;estrangularse;casarse
